raw_event,sample_count,phase,anchor,seconds_from_anchor
"WEEK28",504,ON_TREATMENT,BASELINE,16934400
"FU Visit W104 V9",503,FOLLOW_UP,,
"Week 6 Day 43",503,ON_TREATMENT,BASELINE,3628800
"FU Day 120",501,FOLLOW_UP,,
"Week 12 (Day 84)",501,ON_TREATMENT,BASELINE,7257600
"C2 Day 1",501,ON_TREATMENT,CYCLE_2,0
"SCNBX",500,,,
"Cycle 31 Day 1",499,ON_TREATMENT,CYCLE_31,0
"W37IV",498,ON_TREATMENT,BASELINE,22377600
"P2A Day 29",498,,,
"WK 48 RE-TRT IN",496,ON_TREATMENT,BASELINE,29030400
"Post Enrollment",496,BASELINE,BASELINE,0
"Tumor Assessment Weeks",496,,,
"ARM B/F/G C1D1",496,ON_TREATMENT,CYCLE_1,0
"Cycle 2 Day 1 Dose Escalation",495,ON_TREATMENT,CYCLE_2,0
"V2-MAIN",494,ON_TREATMENT,,
"Biopsy Post Screen Week 14",494,PROCEDURE,,
"C56D1",494,ON_TREATMENT,CYCLE_56,0
"Visit 57",494,ON_TREATMENT,,
"Cycle 1 Day 28",492,ON_TREATMENT,CYCLE_1,2332800
"Study Completion or Discontinuation",490,END_OF_TREATMENT,,
"FU Day 85",489,FOLLOW_UP,,
"2NDLINE",489,,,
"DAY85MD",488,ON_TREATMENT,BASELINE,7344000
"DAY308",487,ON_TREATMENT,BASELINE,26611200
"TP2",485,,,
"C1D14",485,ON_TREATMENT,CYCLE_1,1123200
"Prior to Start of Dopaminergic Week 52",483,ON_TREATMENT,BASELINE,31449600
"V08",483,ON_TREATMENT,,
"P1 Day 15",483,,,
"WEEK 57",482,ON_TREATMENT,BASELINE,34473600
"OL Study Ext Every 12 Weeks W60",481,ON_TREATMENT,BASELINE,36288000
"Week 106",481,ON_TREATMENT,BASELINE,64108800
"V1-MAIN",480,ON_TREATMENT,,
"CSF Collection",480,,,
"Treatment Cycle 4 Day 1",480,ON_TREATMENT,CYCLE_4,0
"Day 106",478,ON_TREATMENT,BASELINE,9158400
"C1D29",478,ON_TREATMENT,CYCLE_1,2419200
"Day 0 PRE OP",478,ON_TREATMENT,BASELINE,0
"201",478,,,
"Post Transplant Week 0",477,ON_TREATMENT,BASELINE,0
"Fw-up/Month 60",477,ON_TREATMENT,BASELINE,155520000
"Week 19 Day 127",477,ON_TREATMENT,BASELINE,11491200
"Year 2 Week 104",477,ON_TREATMENT,BASELINE,62899200
"ADDC2",476,,,
"OBSERVATION",475,,,
"CYCLE8_DAY1",474,ON_TREATMENT,CYCLE_8,0
"W10",473,ON_TREATMENT,BASELINE,6048000
"Week 15",472,ON_TREATMENT,BASELINE,9072000
"MONTH3",472,ON_TREATMENT,BASELINE,7776000
"Visit 7 Week 12 Day 85",472,ON_TREATMENT,BASELINE,7257600
"CYCLE1_DAY3",471,ON_TREATMENT,CYCLE_1,172800
"OPTVISY",470,,,
"WK 48 RE-TRT 2",470,ON_TREATMENT,BASELINE,29030400
"C2 Day 4",470,ON_TREATMENT,CYCLE_2,259200
"Resection",469,PROCEDURE,,
"P2B Day 85 Follow Up",469,FOLLOW_UP,,
"Period 2  Day 1",469,ON_TREATMENT,,
"Day 99",467,ON_TREATMENT,BASELINE,8553600
"6MONTH",467,ON_TREATMENT,BASELINE,15552000
"P2B Day 22",466,,,
"SC/ET",466,,,
"Week 4: Pre",465,ON_TREATMENT,BASELINE,2419200
"WEEK 28",465,ON_TREATMENT,BASELINE,16934400
"Visit 15 Week 144",465,ON_TREATMENT,BASELINE,87091200
"OLE Week 72",464,ON_TREATMENT,BASELINE,43545600
"CYCLE2_DAY8",464,ON_TREATMENT,CYCLE_2,604800
"CYCLE5",464,ON_TREATMENT,CYCLE_5,0
"OL Study Ext Every 12 Weeks W84",463,ON_TREATMENT,BASELINE,50803200
"P2A Day 113 Follow U",463,,,
"P2B Day 8",463,,,
"WK 24 RE-TRT 4",462,ON_TREATMENT,BASELINE,14515200
"OLE Week 156",462,ON_TREATMENT,BASELINE,94348800
"CSF FOLLOW-UP 1 WK104",461,FOLLOW_UP,END_OF_TREATMENT,62899200
"DAY 1 RE-TRT 4",461,ON_TREATMENT,BASELINE,86400
"Safety Follow Up Week 36",460,FOLLOW_UP,END_OF_TREATMENT,21772800
"Week 52 / EOT",459,ON_TREATMENT,BASELINE,31449600
"Follow-up Day 140",458,FOLLOW_UP,,
"Visit 27",458,ON_TREATMENT,,
"P1 Day 2",458,,,
"Cycle 4 Day 1 D",457,ON_TREATMENT,CYCLE_4,0
"CYCLE 18 DAY 1",457,ON_TREATMENT,CYCLE_18,0
"C120DAYS",457,,,
"Day 1: Pre",456,ON_TREATMENT,BASELINE,86400
"OLRT2",456,,,
"W3SRISC",455,ON_TREATMENT,BASELINE,1814400
"CYCLE6",453,ON_TREATMENT,CYCLE_6,0
"BO16348",452,,,
"Cycle 1 Day 8 and Day 15",452,ON_TREATMENT,CYCLE_1,604800
"Visit 6 / End of Treatment",452,END_OF_TREATMENT,,
"OLE Week 53",451,ON_TREATMENT,BASELINE,32054400
"P2B Day 57 Follow Up",450,FOLLOW_UP,,
"18MONTH",449,ON_TREATMENT,BASELINE,46656000
"Cycle 2 Day 21",448,ON_TREATMENT,CYCLE_2,1728000
"Unscheduled / Retest",448,UNSCHEDULED,,
"C19D1",448,ON_TREATMENT,CYCLE_19,0
"Visit 16",448,ON_TREATMENT,,
"C3W12OLEVF",447,ON_TREATMENT,BASELINE,7257600
"Visit 55",446,ON_TREATMENT,,
"C1D1F",444,ON_TREATMENT,CYCLE_1,0
"Cycle 4 Day 15",442,ON_TREATMENT,CYCLE_4,1209600
"C1 Day 8",442,ON_TREATMENT,CYCLE_1,604800
"P2A Day 85 Follow Up",441,FOLLOW_UP,,
"Pre Screening",441,SCREENING,SCREENING,0
"WEEK 49",441,ON_TREATMENT,BASELINE,29635200
"Unscheduled or Retest ARIA",440,UNSCHEDULED,,
"WEEK 18",439,ON_TREATMENT,BASELINE,10886400
"Period 1 Day 2",439,ON_TREATMENT,,
"Week 180",437,ON_TREATMENT,BASELINE,108864000
"Week 12 Part 4",437,ON_TREATMENT,BASELINE,7257600
"DAY 106",437,ON_TREATMENT,BASELINE,9158400
"W53B",436,ON_TREATMENT,BASELINE,32054400
"W61IV",436,ON_TREATMENT,BASELINE,36892800
"Treatment Discontinu",435,ON_TREATMENT,,
"Visit 0",435,ON_TREATMENT,,
"P2A Day 57 Follow Up",434,FOLLOW_UP,,
"C3D1OLEVF",433,ON_TREATMENT,CYCLE_3,0
"LTE Dose 5 Day 1",433,ON_TREATMENT,,
"WEEK40",433,ON_TREATMENT,BASELINE,24192000
"Visit 13 Week 120",433,ON_TREATMENT,BASELINE,72576000
"RESCEU_Vex1",432,,,
"CYC1_D1",431,ON_TREATMENT,CYCLE_1,0
"P2 Day 1",430,,,
"Cycle 3 Day 3",430,ON_TREATMENT,CYCLE_3,172800
"Visit 3 - FU or EOS",429,ON_TREATMENT,,
"End of Treatment or Early Discontinuation",429,END_OF_TREATMENT,,
"18-MONTH",429,ON_TREATMENT,BASELINE,46656000
"PART 2 Day -1",429,,,
"C1D15S1",429,ON_TREATMENT,CYCLE_1,1209600
"Cycle 16 Visit 2",428,ON_TREATMENT,CYCLE_16,0
"ET/ED",427,,,
"Month 28",427,ON_TREATMENT,BASELINE,72576000
"Surgical Resection",427,PROCEDURE,,
"Week 240",425,ON_TREATMENT,BASELINE,145152000
"Treatment Cycle 8 Day 1",424,ON_TREATMENT,CYCLE_8,0
"40 WEEKS",424,,,
"Cycle 1 Day 1 (Phase 1b)",423,ON_TREATMENT,CYCLE_1,0
"MONTH 3",423,ON_TREATMENT,BASELINE,7776000
"CYCLE1_DAY5",420,ON_TREATMENT,CYCLE_1,345600
"CYCLE 1/DAY 1",420,ON_TREATMENT,CYCLE_1,0
"CAPCTDNAW36",420,ON_TREATMENT,BASELINE,21772800
"Week 20 Part 4",420,ON_TREATMENT,BASELINE,12096000
"Visit 29",420,ON_TREATMENT,,
"Visit 59",419,ON_TREATMENT,,
"Visit 33",418,ON_TREATMENT,,
"Visit 43",418,ON_TREATMENT,,
"P2B Day 113 Follow U",418,,,
"MONTH9",417,ON_TREATMENT,BASELINE,23328000
"Surrogate",417,,,
"Every 12 Weeks W108",416,ON_TREATMENT,BASELINE,65318400
"Visit 2 - FU",416,ON_TREATMENT,,
"Follow-up",414,FOLLOW_UP,,
"OL Week 48 / Early Termination",414,END_OF_TREATMENT,,
"Study Completion ET",414,END_OF_TREATMENT,,
"Safety Follow-Up Visit 4",414,FOLLOW_UP,,
"MIBC Cycle 4 Day 1",414,ON_TREATMENT,CYCLE_4,0
"OL Day 1 RT4D1",414,,,
"OPTVISZ",413,,,
"Withdrawal Open Label Extension",413,END_OF_TREATMENT,,
"ETB",411,,,
"Follow-up Day 28",410,FOLLOW_UP,,
"Cycle 3 Day  1",410,ON_TREATMENT,CYCLE_3,0
"OSE Visit 14 Week 36",410,ON_TREATMENT,BASELINE,21772800
"Day -1 (Predose)",410,ON_TREATMENT,BASELINE,86400
"Visit 12 Week 26 Day 183",410,ON_TREATMENT,BASELINE,15724800
"WEEK44",410,ON_TREATMENT,BASELINE,26611200
"Every 12 WeeksW96",409,ON_TREATMENT,BASELINE,58060800
"Week 18 Day 126",409,ON_TREATMENT,BASELINE,10886400
"SUBSTUDY WK4",409,ON_TREATMENT,BASELINE,2419200
"SCREENING VISIT 2",408,SCREENING,SCREENING,0
"Study Completion/Early Term",408,END_OF_TREATMENT,,
"WEEK72",408,ON_TREATMENT,BASELINE,43545600
"V5-B",407,ON_TREATMENT,,
"Progression",406,DISEASE_PROGRESSION,,
"601",405,,,
"Post Treatment Follow Up",405,FOLLOW_UP,,
"Every 12 WeeksW72",405,ON_TREATMENT,BASELINE,43545600
"VISIT1",404,ON_TREATMENT,,
"C20D1",404,ON_TREATMENT,CYCLE_20,0
"Cycle 3 & Beyond",403,,,
"WEEK 6",402,ON_TREATMENT,BASELINE,3628800
"STUDYCOMP",402,,,
"VISIT 33",401,ON_TREATMENT,,
"120 Days After Last Dose",401,ON_TREATMENT,,
"C1D15M",401,ON_TREATMENT,CYCLE_1,1209600
"SCREENPROX",400,,,
"MONOTHERAPY1",398,,,
"Follow Up Week 16 Day 112",398,FOLLOW_UP,END_OF_TREATMENT,9676800
"Cycle 3 Treatment Week 12 Post Day 1 Infusion",398,ON_TREATMENT,BASELINE,7257600
"C1 Day 15",396,ON_TREATMENT,CYCLE_1,1209600
"Implant Month 3",396,PROCEDURE,,
"Week 73 EOT",395,ON_TREATMENT,BASELINE,44150400
"Visit 3 Day 2",395,ON_TREATMENT,,
"C2D1F",395,ON_TREATMENT,CYCLE_2,0
"3 Month Post Treatment",394,FOLLOW_UP,,
"FU Day 15",394,FOLLOW_UP,,
"P2/P3 C1D1 POST (IMM",393,ON_TREATMENT,CYCLE_1,0
"Week 125 EOS",393,ON_TREATMENT,BASELINE,75600000
"At Visit",392,,,
"First Clinical Visit Post Surgery",392,PROCEDURE,,
"Day 8A",390,ON_TREATMENT,BASELINE,691200
"D0",390,ON_TREATMENT,BASELINE,0
"Follow-up 1 WK104",390,FOLLOW_UP,END_OF_TREATMENT,62899200
"End Of Treatment Visit",389,END_OF_TREATMENT,,
"W6PB",389,ON_TREATMENT,BASELINE,3628800
"Retest Unscheduled",389,UNSCHEDULED,,
"Visit 10 Day 2",388,ON_TREATMENT,,
"Day 1B",387,ON_TREATMENT,BASELINE,86400
"DAY7",387,ON_TREATMENT,BASELINE,604800
"DT",386,,,
"CAPCTDNAUNS",386,,,
"Visit 51",385,ON_TREATMENT,,
"CTCCAPWTC",385,,,
"Cycle 37 Day 1",384,ON_TREATMENT,CYCLE_37,0
"DAY 120",383,ON_TREATMENT,BASELINE,10368000
"C23D1",383,ON_TREATMENT,CYCLE_23,0
"End Of Study Treatment",383,END_OF_TREATMENT,,
"Implant Month 1",383,PROCEDURE,,
"DAY57SD",382,ON_TREATMENT,BASELINE,4924800
"B Cell Monitoring",382,,,
"Visit 31",381,ON_TREATMENT,,
"DAY4",381,ON_TREATMENT,BASELINE,345600
"Implant Randomization",381,BASELINE,BASELINE,0
"Week 108 on treatment",380,ON_TREATMENT,BASELINE,65318400
"P1 Day 8",380,,,
"C21D1",380,ON_TREATMENT,CYCLE_21,0
"Long Term Follow Up",379,FOLLOW_UP,,
"Cycle 36 Day 1",378,ON_TREATMENT,CYCLE_36,0
"Week 27",378,ON_TREATMENT,BASELINE,16329600
"3RDLINE",378,,,
"SUBSTUDY WK1",378,ON_TREATMENT,BASELINE,604800
"VISIT 49",378,ON_TREATMENT,,
"OLE Unscheduled",378,UNSCHEDULED,,
"24-MONTH",378,ON_TREATMENT,BASELINE,62208000
"P2/P3 C1D1 PRE (IMMU",377,ON_TREATMENT,CYCLE_1,0
"WEEK 32",377,ON_TREATMENT,BASELINE,19353600
"END OF STUDY ET VISI",376,END_OF_TREATMENT,,
"Day 134",375,ON_TREATMENT,BASELINE,11577600
"DAY29SD",374,ON_TREATMENT,BASELINE,2505600
"VISIT 41",374,ON_TREATMENT,,
"Stage 1 Screening",373,SCREENING,SCREENING,0
"Week 97 FU",373,ON_TREATMENT,BASELINE,58665600
"D197",372,ON_TREATMENT,BASELINE,17020800
"OL Study Ext Every 12 Weeks W72",372,ON_TREATMENT,BASELINE,43545600
"V CCD",372,,,
"CYC3_D1",372,ON_TREATMENT,CYCLE_3,0
"Year 1 Week 60",372,ON_TREATMENT,BASELINE,36288000
"Week 22 Day 154",372,ON_TREATMENT,BASELINE,13305600
"FU",371,FOLLOW_UP,,
"DAY43",371,ON_TREATMENT,BASELINE,3715200
"CYCLE 21 DAY 1",371,ON_TREATMENT,CYCLE_21,0
"Tx Discon visit",371,,,
"Bone Marrow/Whole Blood Assessments",370,,,
"CAPCTDNAW42",370,ON_TREATMENT,BASELINE,25401600
"Cycle 3 Day 1 Additional PK",370,ON_TREATMENT,CYCLE_3,0
"WK 48 RE-TRT 3",370,ON_TREATMENT,BASELINE,29030400
"C4D1F",369,ON_TREATMENT,CYCLE_4,0
"Last dose in OLE +4",368,ON_TREATMENT,,
"Disease Evaluation",368,,,
"VISIT 31",368,ON_TREATMENT,,
"Implant Month 6",366,PROCEDURE,,
"Implant Day 14",366,PROCEDURE,,
"Visit 4 Day 2",366,ON_TREATMENT,,
"SUBSTUDY D1",365,,,
"Early Term",365,,,
"Implant Final",364,PROCEDURE,,
"Baseline Day -1 Predose",363,BASELINE,BASELINE,0
"Week 18 Day 127",363,ON_TREATMENT,BASELINE,10886400
"VISIT 45",363,ON_TREATMENT,,
"VISIT 35",363,ON_TREATMENT,,
"Cycle 1 Day 1 (Phase 1a)",363,ON_TREATMENT,CYCLE_1,0
"D1 MAD",363,ON_TREATMENT,BASELINE,86400
"P2/P3 C1D2 (IMMUNO)",362,ON_TREATMENT,CYCLE_1,86400
"DAY15SD",362,ON_TREATMENT,BASELINE,1296000
"C1D1 PRE P1B",362,ON_TREATMENT,CYCLE_1,0
"SUBSTUDY SCRN3",361,,,
"End of Induction",360,,,
"C1D8D",360,ON_TREATMENT,CYCLE_1,604800
"FU Day 57",359,FOLLOW_UP,,
"Q8W Week 145",359,ON_TREATMENT,BASELINE,87696000
"C8AD1",358,,,
"Study Completion/Early Termination",358,END_OF_TREATMENT,,
"Visit 35",358,ON_TREATMENT,,
"Visit 39",358,ON_TREATMENT,,
"D1ADDTC04",358,ON_TREATMENT,BASELINE,86400
"Cycle 30 Day 1",358,ON_TREATMENT,CYCLE_30,0
"DISEASEPROGRESSION",357,DISEASE_PROGRESSION,,
"C3D1F",357,ON_TREATMENT,CYCLE_3,0
"Part 2 Cycle 1 Day 1",356,ON_TREATMENT,CYCLE_1,0
"C4D1 PREDOSE",356,ON_TREATMENT,CYCLE_4,0
"C2 Day 2",355,ON_TREATMENT,CYCLE_2,86400
"EXT WEEK 24",354,ON_TREATMENT,BASELINE,14515200
"Part 1 SAD Day 1",354,,,
"Day 1 Additional Treatment Cycle 4",354,ON_TREATMENT,BASELINE,86400
"DAY 1 RE-TRT 3",354,ON_TREATMENT,BASELINE,86400
"SUBSTUDY WK8",354,ON_TREATMENT,BASELINE,4838400
"IDS",353,,,
"FU WEEK 108",352,FOLLOW_UP,,
"VISIT0",352,ON_TREATMENT,,
"C1D1C",351,ON_TREATMENT,CYCLE_1,0
"Visit 45",351,ON_TREATMENT,,
"Visit 5 Day 2",351,ON_TREATMENT,,
"Part 2 Day 42",350,,,
"DAY 1 BASELINE",350,BASELINE,BASELINE,0
"DAY56_STAGE1",350,ON_TREATMENT,BASELINE,4838400
"Visit 37",350,ON_TREATMENT,,
"C22D1",349,ON_TREATMENT,CYCLE_22,0
"WK48",349,ON_TREATMENT,BASELINE,29030400
"DAY30REC",349,ON_TREATMENT,BASELINE,2592000
"Cycle 33 Day 1",348,ON_TREATMENT,CYCLE_33,0
"VISIT 47",347,ON_TREATMENT,,
"Year 2 Week 96",347,ON_TREATMENT,BASELINE,58060800
"FOLLOW-_UP_VISIT_(EOS)",346,,,
"CYCLE9_DAY1",344,ON_TREATMENT,CYCLE_9,0
"D197ET",343,ON_TREATMENT,BASELINE,17020800
"P2A Day 15",343,,,
"WK 8 RE-TRT 3",343,ON_TREATMENT,BASELINE,4838400
"Study Completion or Early Discontinuation",343,END_OF_TREATMENT,,
"WEEK 65",342,ON_TREATMENT,BASELINE,39312000
"Follow Up Visit 2 Month 15",342,FOLLOW_UP,END_OF_TREATMENT,38880000
"SUBSTUDY WK12",341,ON_TREATMENT,BASELINE,7257600
"DAY 92",341,ON_TREATMENT,BASELINE,7948800
"Follow Up Month 3",341,FOLLOW_UP,END_OF_TREATMENT,7776000
"SAFETY FOLLOW UP",341,FOLLOW_UP,,
"Visit 41",340,ON_TREATMENT,,
"PREDOSE",339,ON_TREATMENT,,
"C8",339,ON_TREATMENT,CYCLE_8,0
"Q8W Week 105",339,ON_TREATMENT,BASELINE,63504000
"VISIT 37",339,ON_TREATMENT,,
"Visit 4 - FU or EOS",339,ON_TREATMENT,,
"C1D1 30 MIN POSTDOSE",338,ON_TREATMENT,CYCLE_1,0
"First Maintenance Restage",338,,,
"DAY0_BASELINE",337,BASELINE,BASELINE,0
"C1D8C",337,ON_TREATMENT,CYCLE_1,604800
"Submission Day 1",336,,,
"Week 36 Visit 7",336,ON_TREATMENT,BASELINE,21772800
"C2D1E",336,ON_TREATMENT,CYCLE_2,0
"Visit 5 - EOS",335,ON_TREATMENT,,
"Part 2 Follow-up Week 12",335,FOLLOW_UP,END_OF_TREATMENT,7257600
"DAY 1 RE-TRT 5",335,ON_TREATMENT,BASELINE,86400
"Unscheduled or Retest Screening",334,SCREENING,SCREENING,0
"C64D1",334,ON_TREATMENT,CYCLE_64,0
"End Of Study",334,END_OF_TREATMENT,,
"Period 1 Day 14",334,ON_TREATMENT,,
"C2D1D",333,ON_TREATMENT,CYCLE_2,0
"BM Aspirate",332,,,
"Week 16: Pre",331,ON_TREATMENT,BASELINE,9676800
"Part II C1: Day 1: P",331,,,
"VISIT 43",330,ON_TREATMENT,,
"Week 9 Day 1",330,ON_TREATMENT,BASELINE,5443200
"Week 117 on treatment",330,ON_TREATMENT,BASELINE,70761600
"Week 288",330,ON_TREATMENT,BASELINE,174182400
"V9-B",330,ON_TREATMENT,,
"CYCLE 24 DAY 1",330,ON_TREATMENT,CYCLE_24,0
"BL1",329,,,
"VISIT8",329,ON_TREATMENT,,
"DAY28_STAGE1",329,ON_TREATMENT,BASELINE,2419200
"1-Year Assessment",328,,,
"Day 92",328,ON_TREATMENT,BASELINE,7948800
"SFU",328,,,
"VISIT 39",328,ON_TREATMENT,,
"WEEK_8",328,ON_TREATMENT,BASELINE,4838400
"RT 3",327,,,
"VISIT 1",327,BASELINE,BASELINE,0
"WEEK 73",327,ON_TREATMENT,BASELINE,44150400
"Week 184",327,ON_TREATMENT,BASELINE,111283200
"Week 148",327,ON_TREATMENT,BASELINE,89510400
"C3D1 A5",326,ON_TREATMENT,CYCLE_3,0
"Cycle 4 Day  1",326,ON_TREATMENT,CYCLE_4,0
"Period 2  Day 7",326,ON_TREATMENT,,
"C3D1B",325,ON_TREATMENT,CYCLE_3,0
"DAY 13",325,ON_TREATMENT,BASELINE,1123200
"Part 3",325,,,
"Week 3 Day 1",325,ON_TREATMENT,BASELINE,1814400
"Week 8 Double Blind Period",324,ON_TREATMENT,BASELINE,4838400
"SCREENING MONO",323,SCREENING,SCREENING,0
"RT 2",323,,,
"PART 4 WK36 D252",323,ON_TREATMENT,BASELINE,21772800
"Part 2 Day 3",323,,,
"Cycle 6 Day 1 D",322,ON_TREATMENT,CYCLE_6,0
"Week 4 Double Blind Period",322,ON_TREATMENT,BASELINE,2419200
"CTCCAPW24",322,ON_TREATMENT,BASELINE,14515200
"EXT WEEK 16",322,ON_TREATMENT,BASELINE,9676800
"SCRNWB",321,,,
"Week 11 Day 71",321,ON_TREATMENT,BASELINE,6652800
"30-MONTH",321,ON_TREATMENT,BASELINE,77760000
"Week 84 Visit 13",321,ON_TREATMENT,BASELINE,50803200
"M1",320,,,
"C25D1",320,ON_TREATMENT,CYCLE_25,0
"End of Treatment/ Early Term",320,END_OF_TREATMENT,,
"WEEK36",320,ON_TREATMENT,BASELINE,21772800
"PK",318,,,
"V Flare",318,,,
"Week 146",317,ON_TREATMENT,BASELINE,88300800
"D20",317,ON_TREATMENT,BASELINE,1728000
"AMEND WEEK 8",317,ON_TREATMENT,BASELINE,4838400
"Cohort E-H Archival, Fresh",317,ARCHIVAL,,
"Visit 53",317,ON_TREATMENT,,
"VISIT4",317,ON_TREATMENT,,
"Week 52 Day 365 End of Study",316,END_OF_TREATMENT,,
"On Study Tissue",315,,,
"Week 24 Safety Follow Up",315,FOLLOW_UP,END_OF_TREATMENT,14515200
"Cycle 1 Day -7",314,ON_TREATMENT,CYCLE_1,518400
"C1D1 30 MIN AMEND",313,ON_TREATMENT,CYCLE_1,0
"3 Month",313,ON_TREATMENT,BASELINE,7776000
"EARLY WITHDRAWAL",312,END_OF_TREATMENT,,
"D7 MAD",312,ON_TREATMENT,BASELINE,604800
"VISIT 29",312,ON_TREATMENT,,
"120 Day Post Last Dose Atezolizumab/Placebo",311,ON_TREATMENT,,
"DAY8MD",310,ON_TREATMENT,BASELINE,691200
"Additional Cycle 4 Treatment Week 12 Post Day 1 Infusion",310,ON_TREATMENT,BASELINE,7257600
"Phase 1 C Study Complete/Early Term",310,,,
"W88",309,ON_TREATMENT,BASELINE,53222400
"21 RT 1 DAY 1",309,,,
"Cycle1day1",309,ON_TREATMENT,CYCLE_1,0
"CAPCTDNAW48",309,ON_TREATMENT,BASELINE,29030400
"Cycle 7 Day 2",307,ON_TREATMENT,CYCLE_7,86400
"Phase 1 C Day 5",307,,,
"Part 2 Day 41",306,,,
"Phase 1 C Day 14",306,,,
"CYCLE 27 DAY 1",306,ON_TREATMENT,CYCLE_27,0
"EOT",306,END_OF_TREATMENT,,
"Cycle 5 Day 1 D",306,ON_TREATMENT,CYCLE_5,0
"PART 4 WK28 D196",306,ON_TREATMENT,BASELINE,16934400
"CYCLE7",305,ON_TREATMENT,CYCLE_7,0
"UCFLR",305,,,
"6 Month",305,ON_TREATMENT,BASELINE,15552000
"Week 10 Day 64",305,ON_TREATMENT,BASELINE,6048000
"EXT WEEK 28",305,ON_TREATMENT,BASELINE,16934400
"Follow-up Month 12",305,FOLLOW_UP,END_OF_TREATMENT,31104000
"C2D1 30 MIN POSTDOSE",304,ON_TREATMENT,CYCLE_2,0
"CSF EXTFU1 / DROP-OUT 1",303,,,
"Week 1 Day 3",303,ON_TREATMENT,BASELINE,604800
"Week 135 on treatment",303,ON_TREATMENT,BASELINE,81648000
"Cycle 1 Day 15 (Phase 1b)",302,ON_TREATMENT,CYCLE_1,1209600
"C1D1D",302,ON_TREATMENT,CYCLE_1,0
"Safety Follow-Up SFUW36",302,FOLLOW_UP,END_OF_TREATMENT,21772800
"48 WEEKS",301,,,
"952",301,,,
"Cycle 26 Day 1",301,ON_TREATMENT,CYCLE_26,0
"STUDYDRUGCOMPLETION",301,,,
"P3SFU",300,,,
"RT 1",299,,,
"OL Week 12",299,ON_TREATMENT,BASELINE,7257600
"Week 126 on treatment",299,ON_TREATMENT,BASELINE,76204800
"SUBSTUDY SFU2",299,,,
"Rescreening",299,SCREENING,SCREENING,0
"Completion of Therapy",299,,,
"C6",298,ON_TREATMENT,CYCLE_6,0
"Visit 47",298,ON_TREATMENT,,
"36-MONTH",297,ON_TREATMENT,BASELINE,93312000
"Part 2 Day 21",297,,,
"Week 1 Day 2",296,ON_TREATMENT,BASELINE,604800
"WEEK 81",296,ON_TREATMENT,BASELINE,48988800
"3 Months Follow-Up",296,FOLLOW_UP,,
"VISIT 27",296,ON_TREATMENT,,
"SUBWK11",295,ON_TREATMENT,BASELINE,6652800
"Visit 10 Week 20 Day 141",295,ON_TREATMENT,BASELINE,12096000
"Visit04",295,ON_TREATMENT,,
"Confirm PD or CR",294,,,
"Week 12 Double Blind Period",294,ON_TREATMENT,BASELINE,7257600
"Visit 3 Week 4 Day 29",294,ON_TREATMENT,BASELINE,2419200
"21 WEEK 48",294,ON_TREATMENT,BASELINE,29030400
"128 WEEKS",293,,,
"Week 31",293,ON_TREATMENT,BASELINE,18748800
"Visit01",292,ON_TREATMENT,,
"Cycle2day1",291,ON_TREATMENT,CYCLE_2,0
"Part 2 Screening",291,SCREENING,SCREENING,0
"M18",291,,,
"Week 8 Day 50",290,ON_TREATMENT,BASELINE,4838400
"Part 2 Day 2",290,,,
"Week 41 Day 281",290,ON_TREATMENT,BASELINE,24796800
"DNA Repository",290,,,
"Treatment Discontinuation Sch II",290,END_OF_TREATMENT,,
"MIBC Cycle 2 Day 2",289,ON_TREATMENT,CYCLE_2,86400
"FUP",289,,,
"Week 158",288,ON_TREATMENT,BASELINE,95558400
"Cycle 6 Day 8",288,ON_TREATMENT,CYCLE_6,604800
"Visit02",288,ON_TREATMENT,,
"Visit03",287,ON_TREATMENT,,
"MONTH 4",287,ON_TREATMENT,BASELINE,10368000
"CYCLE1DAY1",287,ON_TREATMENT,CYCLE_1,0
"C26D1",286,ON_TREATMENT,CYCLE_26,0
"Cycle 1 Day 1 Dose Expansion",286,ON_TREATMENT,CYCLE_1,0
"W80",286,ON_TREATMENT,BASELINE,48384000
"OLE BASELINE",286,BASELINE,BASELINE,0
"Week 128",286,ON_TREATMENT,BASELINE,77414400
"C1D5TO7",285,ON_TREATMENT,CYCLE_1,345600
"Phase 1 C Day 17",285,,,
"C1D7",284,ON_TREATMENT,CYCLE_1,518400
"LTE Dose 6 Day 1",283,ON_TREATMENT,,
"DAY_2",282,ON_TREATMENT,BASELINE,172800
"Part 3 Week 20 Day 140",282,ON_TREATMENT,BASELINE,12096000
"Follow Up 3 Month",281,FOLLOW_UP,,
"UNSCH C1D1",281,UNSCHEDULED,,
"Year 1 Week 48",281,ON_TREATMENT,BASELINE,29030400
"Atezolizumab Discontinuation",281,END_OF_TREATMENT,,
"M3",281,,,
"W108",281,ON_TREATMENT,BASELINE,65318400
"Week 24 Predose",280,ON_TREATMENT,BASELINE,14515200
"CYCLE3_DAY8",280,ON_TREATMENT,CYCLE_3,604800
"Phase 1 C Day -1",280,,,
"Period 4 Day 1",280,ON_TREATMENT,,
"Non Safety C1D15g",279,ON_TREATMENT,CYCLE_1,1209600
"V02.11",279,ON_TREATMENT,,
"DAY42",279,ON_TREATMENT,BASELINE,3628800
"RBR Visit",278,,,
"Tissue Sample Collection - Screening",278,SCREENING,SCREENING,0
"RESIDUAL",278,,,
"DAY 21",278,ON_TREATMENT,BASELINE,1814400
"C1XD1",278,,,
"Cycle 4 Day 11",277,ON_TREATMENT,CYCLE_4,864000
